tool             tier(s)            nodes   flags   %described     ms  status
FileCheck-18     help                   1      21         100%     21  ok
ModemManager     help                   1      22         100%     20  ok
NetworkManager   help                  11      11         100%     20  ok
UnicodeNameMappingGenerator-18 help                   1       0            —     20  ok
Xvfb             help                  31       0            —     21  ok
[                help                  39       2         100%     20  ok
aa-enabled       help                   5       0            —     20  ok
aa-exec          help                   1       6           0%     20  low-confidence
aa-features-abi  help                   1       5         100%     20  ok
aa-load          help                   1       5         100%     20  ok
aa-remove-unknown help                   1       2           0%     20  low-confidence
aa-status        help                   6      13          92%     20  ok
aa-teardown      help                   1       0            —     21  ok
aarch64-linux-gnu-addr2line help                   1       0            —     20  ok
aarch64-linux-gnu-ar help                   1       0            —     20  ok
aarch64-linux-gnu-as help                   1      59          97%     21  ok
aarch64-linux-gnu-c++filt help                  12       0            —     20  ok
aarch64-linux-gnu-cpp help                   3      43          95%     20  ok
aarch64-linux-gnu-cpp-13 help                   3      43          95%     20  ok
aarch64-linux-gnu-dwp help                   1       0            —     20  ok
aarch64-linux-gnu-elfedit help                   1       0            —     20  ok
aarch64-linux-gnu-g++ help                   3      43          95%     20  ok
aarch64-linux-gnu-g++-13 help                   3      43          95%     20  ok
aarch64-linux-gnu-gcc help                   3      43          95%     20  ok
aarch64-linux-gnu-gcc-13 help                   3      43          95%     20  ok
aarch64-linux-gnu-gcc-ar help                   1       0            —     20  ok
aarch64-linux-gnu-gcc-ar-13 help                   1       0            —      3  ok
aarch64-linux-gnu-gcc-nm help                   1       0            —     20  ok
aarch64-linux-gnu-gcc-nm-13 help                   1       0            —     20  ok
aarch64-linux-gnu-gcc-ranlib help                   1       0            —     20  ok
aarch64-linux-gnu-gcc-ranlib-13 help                   1       0            —     20  ok
aarch64-linux-gnu-gcov help                   1      25          96%     20  ok
aarch64-linux-gnu-gcov-13 help                   1      25          96%     20  ok
aarch64-linux-gnu-gcov-dump help                   1       6         100%     20  ok
aarch64-linux-gnu-gcov-dump-13 help                   1       6         100%     20  ok
aarch64-linux-gnu-gcov-tool help                   1       2         100%     20  ok
aarch64-linux-gnu-gcov-tool-13 help                   1       2         100%     20  ok
aarch64-linux-gnu-gi-compile-repository help                   1       7         100%     40  ok
aarch64-linux-gnu-gi-decompile-typelib help                   1       5         100%     40  ok
aarch64-linux-gnu-gi-inspect-typelib help                   1       4         100%     61  ok
aarch64-linux-gnu-gold help                   1     291          97%     22  ok
aarch64-linux-gnu-gp-archive help                   1       9         100%     20  ok
aarch64-linux-gnu-gp-collect-app help                   1      20         100%     20  ok
aarch64-linux-gnu-gp-display-html help                  33       0            —    141  ok
aarch64-linux-gnu-gp-display-src help                   1       7         100%     20  ok
aarch64-linux-gnu-gp-display-text help                  15       4         100%     20  ok
aarch64-linux-gnu-gprof help                   1       0            —     20  ok
aarch64-linux-gnu-gprofng help                  32       4         100%     21  ok
aarch64-linux-gnu-ld help                   1     386          98%     36  ok
aarch64-linux-gnu-ld.bfd help                   1     386          98%     35  ok
aarch64-linux-gnu-ld.gold help                   1     291          97%     23  ok
aarch64-linux-gnu-lto-dump help                   4    1755          65%     25  ok
aarch64-linux-gnu-lto-dump-13 help                   4    1755          65%     24  ok
aarch64-linux-gnu-nm help                   1       0            —     21  ok
aarch64-linux-gnu-objcopy help                   1       0            —     21  ok
aarch64-linux-gnu-objdump help                  24      14          86%     20  ok
aarch64-linux-gnu-pkg-config help                   1      56         100%     21  ok
aarch64-linux-gnu-pkgconf help                   1      56         100%      2  ok
aarch64-linux-gnu-python3-config help                   1       0            —     21  ok
aarch64-linux-gnu-python3.12-config help                   1       0            —     20  ok
aarch64-linux-gnu-ranlib help                   1       0            —     20  ok
aarch64-linux-gnu-readelf help                   1       0            —     20  ok
aarch64-linux-gnu-size help                   1       0            —     20  ok
aarch64-linux-gnu-strings help                   1       0            —     20  ok
aarch64-linux-gnu-strip help                   1       0            —     20  ok
aclocal          help                  14      11         100%     60  ok
aclocal-1.16     help                  14      11         100%     60  ok
acpidbg          help                   3       0            —     20  ok
add-shell        help                   1       0            —     20  ok
addgnupghome     help                   1       0            —     20  ok
addgroup         help                  22       0            —     40  ok
addpart          help                   1       2         100%     20  ok
addr2line        help                   1       0            —     20  ok
adduser          help                  22       0            —     40  ok
agetty           help                   1      23          87%     20  ok
apparmor_parser  help                   1       4          25%     20  low-confidence
apparmor_status  help                   6      13          92%     20  ok
applygnupgdefaults help                   1       0            —     20  ok
apport-bug       help                   1       6         100%    221  ok
apport-cli       help                   1      12         100%    221  ok
apport-collect   help                   2       3         100%    221  ok
